Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
19/06/20,Rico,JHSF3,Venda,86,6.44,B3I,Confirmada
19/06/20,Rico,RAPT4,Venda,46,10.20,B3I,Confirmada
25/06/20,Rico,GRND3,Venda,16,7.41,B3I,Confirmada
25/06/20,Rico,TOTS3,Compra,4,22.42,B3I,Confirmada
25/06/20,Rico,ARZZ3,Compra,50,46.08,B3I,Confirmada
25/06/20,Rico,GRND3,Venda,300,7.40,B3I,Confirmada
26/06/20,Rico,RAPT3,Venda,5,8.15,B3I,Confirmada
01/07/20,Rico,ITSA3,Compra,1,11.13,B3I,Confirmada
14/07/20,Rico,WEGE3,Compra,1,54.00,B3I,Confirmada
15/07/20,Rico,TOTS3,Compra,1,25.20,B3I,Confirmada
15/07/20,Rico,ITSA3,Compra,1,11.57,B3I,Confirmada
21/07/20,Rico,VLID3,Compra,40,12.30,B3I,Confirmada
22/07/20,Rico,WEGE3,Compra,7,65.20,B3I,Confirmada
28/07/20,Rico,RADL3,Compra,5,118.55,B3I,Confirmada
28/07/20,Rico,VLID3,Compra,2,11.32,B3I,Confirmada
28/07/20,Rico,VLID3,Compra,1,11.29,B3I,Confirmada
30/07/20,Rico,FLRY3,Compra,1,25.52,B3I,Confirmada
03/08/20,Rico,ITSA3,Compra,99,12.22,B3I,Confirmada
03/08/20,Rico,ITSA4,Venda,13,10.75,B3I,Confirmada
03/08/20,Rico,ITUB3,Compra,19,25.21,B3I,Confirmada
03/08/20,Rico,ITUB3,Compra,19,25.20,B3I,Confirmada
03/08/20,Rico,VLID3,Compra,57,11.09,B3I,Confirmada
03/08/20,Rico,LOGG3,Compra,14,38.60,B3I,Confirmada
03/08/20,Rico,ITSA3,Compra,56,12.22,B3I,Confirmada
03/08/20,Rico,ITUB4,Venda,45,27.18,B3I,Confirmada
03/08/20,Rico,ABEV3,Venda,4,13.76,B3I,Confirmada
03/08/20,Rico,ABEV3,Venda,300,13.75,B3I,Confirmada
03/08/20,Rico,ITUB3,Compra,10,25.16,B3I,Confirmada
03/08/20,Rico,ITSA4,Venda,100,10.75,B3I,Confirmada
04/08/20,Rico,ITSA3,Compra,1,11.90,B3I,Confirmada
04/08/20,Rico,WEGE3,Venda,25,66.74,B3I,Confirmada
06/08/20,Rico,LWSA3,Compra,8,54.00,B3I,Confirmada
11/08/20,Rico,SQIA3,Compra,2,23.86,B3I,Confirmada
11/08/20,Rico,LWSA3,Compra,1,53.28,B3I,Confirmada
11/08/20,Rico,EGIE3,Compra,12,45.45,B3I,Confirmada
13/08/20,Rico,TOTS3,Compra,30,28.47,B3I,Confirmada
13/08/20,Rico,LINX3,Venda,200,32.01,B3I,Confirmada
13/08/20,Rico,RADL3,Compra,8,111.57,B3I,Confirmada
13/08/20,Rico,LWSA3,Compra,8,53.21,B3I,Confirmada
13/08/20,Rico,LWSA3,Compra,10,53.18,B3I,Confirmada
13/08/20,Rico,EGIE3,Compra,21,44.14,B3I,Confirmada
13/08/20,Rico,TOTS3,Compra,5,28.39,B3I,Confirmada
13/08/20,Rico,VLID3,Compra,1,10.59,B3I,Confirmada
13/08/20,Rico,LINX3,Venda,37,32.06,B3I,Confirmada
13/08/20,Rico,LOGG3,Compra,28,35.64,B3I,Confirmada
13/08/20,Rico,MGLU3,Compra,2,81.96,B3I,Confirmada
13/08/20,Rico,SQIA3,Compra,20,24.82,B3I,Confirmada
13/08/20,Rico,ITUB3,Compra,20,24.11,B3I,Confirmada
18/08/20,Rico,CNTO3,Compra,2,27.90,B3I,Confirmada
26/08/20,Rico,ITUB3,Compra,2,23.15,B3I,Confirmada
28/08/20,Rico,LEVE3,Compra,1,17.34,B3I,Confirmada
21/09/20,Rico,ITSA3,Compra,2,10.15,B3I,Confirmada
21/09/20,Rico,LOGG3,Compra,2,31.12,B3I,Confirmada
25/09/20,Rico,SQIA3,Compra,1,22.26,B3I,Confirmada
25/09/20,Rico,EGIE3,Compra,5,41.69,B3I,Confirmada
15/10/20,Rico,VLID3,Compra,1,8.87,B3I,Confirmada
22/10/20,Rico,VLID3,Compra,1,8.69,B3I,Confirmada
23/10/20,Rico,CNTO3,Compra,1,25.03,B3I,Confirmada
30/10/20,Rico,EGIE3,Compra,13,40.50,B3I,Confirmada
30/10/20,Rico,LREN3,Compra,12,39.44,B3I,Confirmada
03/11/20,Rico,CNTO3,Compra,2,23.47,B3I,Confirmada
03/11/20,Rico,VLID3,Compra,2,7.86,B3I,Confirmada
06/11/20,Rico,CNTO3,Compra,1,24.96,B3I,Confirmada
06/11/20,Rico,PSSA3,Compra,1,50.61,B3I,Confirmada
13/11/20,Rico,ITSA3,Compra,1,11.33,B3I,Confirmada
23/11/20,Rico,ITSA3,Compra,8,11.28,B3I,Confirmada
25/11/20,Rico,LEVE3,Compra,2,19.88,B3I,Confirmada
27/11/20,Rico,KLBN4,Compra,400,4.97,B3I,Confirmada
