Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
06/08/20,Rico,FLMA11,Compra,2,2.98,B3I,Confirmada
11/08/20,Rico,FLMA11,Venda,1,3.01,B3I,Confirmada
13/08/20,Rico,FLMA11,Venda,1,3.08,B3I,Confirmada
13/08/20,Rico,KNRI11,Compra,5,159.97,B3I,Confirmada
13/08/20,Rico,ALZR11,Compra,7,128.08,B3I,Confirmada
18/08/20,Rico,FLMA11,Compra,1,3.17,B3I,Confirmada
21/08/20,Rico,FLMA11,Compra,2,3.22,B3I,Confirmada
26/08/20,Rico,ABCP11,Compra,1,88.99,B3I,Confirmada
26/08/20,Rico,FLMA11,Venda,1,3.18,B3I,Confirmada
26/08/20,Rico,HGRE11,Compra,2,148.30,B3I,Confirmada
26/08/20,Rico,HGBS11,Compra,1,214.60,B3I,Confirmada
28/08/20,Rico,FLMA11,Compra,2,3.18,B3I,Confirmada
21/09/20,Rico,BCFF11,Compra,7,90.70,B3I,Confirmada
25/09/20,Rico,BCFF11,Compra,3,90.97,B3I,Confirmada
25/09/20,Rico,BCFF11,Compra,8,90.98,B3I,Confirmada
15/10/20,Rico,HGFF11,Compra,1,96.64,B3I,Confirmada
22/10/20,Rico,TGAR11,Compra,3,134.89,B3I,Confirmada
22/10/20,Rico,HGFF11,Compra,1,95.53,B3I,Confirmada
26/10/20,Rico,HGRE12,Compra,3,0.00,B3I,Confirmada
30/10/20,Rico,TGAR11,Compra,4,134.90,B3I,Confirmada
06/11/20,Rico,HGFF11,Compra,1,93.66,B3I,Confirmada
12/11/20,Rico,HGRE12,Venda,3,0.00,B3I,Confirmada
13/11/20,Rico,ABCP11,Venda,18,77.52,B3I,Confirmada
13/11/20,Rico,ABCP11,Venda,1,77.67,B3I,Confirmada
13/11/20,Rico,ABCP11,Venda,5,77.64,B3I,Confirmada
13/11/20,Rico,TGAR11,Compra,14,134.50,B3I,Confirmada
16/11/20,Rico,HGRE14,Compra,3,149.49,B3I,Confirmada
23/11/20,Rico,FLMA11,Venda,33,3.02,B3I,Confirmada
23/11/20,Rico,FLMA11,Venda,5,3.01,B3I,Confirmada
25/11/20,Rico,HGFF11,Compra,1,92.72,B3I,Confirmada
27/11/20,Rico,HCTR11,Compra,1,144.46,B3I,Confirmada
27/11/20,Rico,ALZR11,Compra,1,123.50,B3I,Confirmada
27/11/20,Rico,HCTR11,Compra,15,144.45,B3I,Confirmada
27/11/20,Rico,FLMA11,Venda,10,3.02,B3I,Confirmada
27/11/20,Rico,FLMA11,Venda,1464,3.02,B3I,Confirmada
08/12/20,Rico,TGAR12,Compra,4,0.00,B3I,Confirmada
10/12/20,Rico,XPLG12,Compra,8,0.00,B3I,Confirmada
11/12/20,Rico,BCFF11,Compra,1,88.90,B3I,Confirmada
11/12/20,Rico,BCFF11,Compra,4,88.81,B3I,Confirmada
14/12/20,Rico,HGFF11,Compra,1,90.95,B3I,Confirmada
18/12/20,Rico,TGAR12,Venda,4,0.00,B3I,Confirmada
22/12/20,Rico,TGAR13,Compra,4,128.00,B3I,Confirmada
23/12/20,Rico,XPLG12,Venda,8,0.00,B3I,Confirmada
28/12/20,Rico,XPLG13,Compra,8,117.38,B3I,Confirmada
07/01/21,Rico,HGFF11,Compra,1,93.80,B3I,Confirmada
08/01/21,Rico,HGFF11,Compra,10,93.39,B3I,Confirmada
08/01/21,Rico,BCFF11,Compra,10,95.74,B3I,Confirmada
15/01/21,Rico,XPLG14,Compra,11,117.38,B3I,Confirmada
05/02/21,Rico,HCTR12,Compra,5,0.00,B3I,Confirmada
